date,sales_amount,advertising_cost,customer_count,region,product_category
2023-01-01,125000,15000,450,東京,電子機器
2023-01-02,98000,12000,380,大阪,家具
2023-01-03,142000,18000,520,東京,電子機器
2023-01-04,87000,10000,320,名古屋,衣料品
2023-01-05,156000,20000,580,東京,電子機器
2023-01-06,102000,13000,390,大阪,家具
2023-01-07,178000,22000,650,東京,電子機器
2023-01-08,93000,11000,340,福岡,衣料品
2023-01-09,134000,16000,480,大阪,電子機器
2023-01-10,108000,14000,410,名古屋,家具
2023-01-11,165000,19000,600,東京,電子機器
2023-01-12,89000,10000,320,福岡,衣料品
2023-01-13,145000,17000,530,大阪,電子機器
2023-01-14,112000,14000,420,名古屋,家具
2023-01-15,189000,24000,690,東京,電子機器
2023-01-16,95000,11000,350,福岡,衣料品
2023-01-17,138000,16000,500,大阪,電子機器
2023-01-18,104000,13000,390,名古屋,家具
2023-01-19,172000,21000,630,東京,電子機器
2023-01-20,91000,10000,330,福岡,衣料品
2023-01-21,148000,18000,540,大阪,電子機器
2023-01-22,118000,15000,440,名古屋,家具
2023-01-23,195000,25000,710,東京,電子機器
2023-01-24,87000,9000,310,福岡,衣料品
2023-01-25,152000,19000,560,大阪,電子機器
2023-01-26,106000,13000,400,名古屋,家具
2023-01-27,184000,23000,670,東京,電子機器
2023-01-28,94000,11000,340,福岡,衣料品
2023-01-29,141000,17000,510,大阪,電子機器
2023-01-30,115000,14000,430,名古屋,家具
2023-01-31,201000,26000,740,東京,電子機器
2023-02-01,120000,15000,440,東京,電子機器
2023-02-02,92000,11000,340,大阪,家具
2023-02-03,139000,17000,510,東京,電子機器
2023-02-04,85000,9000,310,名古屋,衣料品
2023-02-05,158000,20000,580,東京,電子機器
2023-02-06,97000,12000,360,大阪,家具
2023-02-07,176000,22000,640,東京,電子機器
2023-02-08,88000,10000,320,福岡,衣料品
2023-02-09,131000,16000,470,大阪,電子機器
2023-02-10,105000,13000,390,名古屋,家具
2023-02-11,162000,20000,590,東京,電子機器
2023-02-12,86000,9000,310,福岡,衣料品
2023-02-13,142000,17000,520,大阪,電子機器
2023-02-14,109000,14000,410,名古屋,家具
2023-02-15,187000,24000,680,東京,電子機器
2023-02-16,90000,10000,330,福岡,衣料品
2023-02-17,135000,16000,490,大阪,電子機器
2023-02-18,101000,12000,380,名古屋,家具
2023-02-19,169000,21000,620,東京,電子機器
2023-02-20,89000,10000,320,福岡,衣料品
